,countries,standard deviasi
1,Indonesia,637.1378300865294
2,Laos,222.35487203338337
3,Malaysia,85.41780707271792
4,Philippines,555.2380886485748
5,Singapore,217.5408217615044
6,Thailand,93.38375696352168
7,Vietnam,186.45645954786232
