countries,sharpe ratio
Vietnam,0.4878736662007606
Thailand,0.31732973258350544
Indonesia,0.2397786121875366
Philippines,0.1155486322502331
Singapore,-0.06634668127316184
Malaysia,-0.5018311258024586
Laos,-1.1129913191551966
